col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
368,3,TypeC,32800,000000000000111110000000000000000000000000000000000000111111000000000000011111100000000000000000000000000000000000000000000000111110000000000000000000000001111110000000,1,0,4.656612873077393e-10
369,4,TypeC,32800,000000000000111110000000000000000000000000000000000000111111000000000000011111100000000000000000000000000000000000000000000000111110000000000000000000000001111110000000,1,0,0.0
370,0,TypeA,54300,000000000000111111111100000000000000000011111111110000000000000000000011111111100000000000000000000000000011111111110000000000000000000000000000000000001111111110000000,1,0,1923493.568043326
371,1,TypeB,41400,000000000111111110000000000000111111110000000000000000000000000000000000000000111111110000000000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,9.313225746154785e-10
372,2,TypeB,41400,000000000111111110000000000000111111110000000000000000000000000000000000000000111111110000000000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,-9.313225746154785e-10
373,3,TypeC,33100,000000000000111110000000000000000000000000000000000000011111100000000000011111100000000000000000000000000000000000000000000000111110000000000000000000000001111110000000,1,0,404467.29857819993
374,4,TypeC,33100,000000000000111110000000000000000000000000000000000000011111100000000000011111100000000000000000000000000000000000000000000000111110000000000000000000000001111110000000,1,0,404467.29857819946
375,0,TypeA,55900,000000000000111111111100000000000000000000000000000111111111100000000000000000111111111100000000000000000000000000000111111111100000000000000000000000001111111110000000,1,0,1033802.7081922814
376,1,TypeB,41200,000000000000000000000000000000111111110000000000011111111000000000000000000000000000000000000000000000000011111110000000000000000111111110000000000000000001111110000000,1,0,646871.2254570061
377,2,TypeB,41200,000000000000000000000000000000111111110000000000011111111000000000000000000000000000000000000000000000000011111110000000000000000111111110000000000000000001111110000000,1,0,646871.2254570043
378,3,TypeC,36600,000000000000000000000000000000000000011111100000000000000001111110000000000000000000000111111000000000000000000000000000000000000000011111100000000000000001111110000000,1,0,4.656612873077393e-10
379,4,TypeC,36600,000000000000000000000000000000000000011111100000000000000001111110000000000000000000000111111000000000000000000000000000000000000000011111100000000000000001111110000000,1,0,0.0
380,0,TypeA,51800,000000000000111111111100000000000000000000000000000000000000000000000011111111100000000000000000000000000000011111111100000000000111111111100000000000001111111110000000,1,0,2788132.9045362175
381,1,TypeB,38400,001111111000000000000000111111100000000000000000000000000000000000011111110000000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,806149.966147596
382,2,TypeB,38400,001111111000000000000000111111100000000000000000000000000000000000011111110000000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,806149.9661475942
383,3,TypeC,33000,000000000000000000000000000000000000011111100000000000000001111110000000000000000000011100000000000000000000000000000000000000000000011111100000000000111111000000000000,1,0,880157.0751523343
384,4,TypeC,33000,000000000000000000000000000000000000011111100000000000000001111110000000000000000000011100000000000000000000000000000000000000000000011111100000000000111111000000000000,1,0,880157.0751523338
385,0,TypeA,53400,000000111111111000000000000000000000000000000000000000000000000000000011111111110000000000000000000000000000011111111100000000000111111111100000000000011111111110000000,1,0,2547595.870006766
386,1,TypeB,39400,001111111100000000000000111111100000000000000000000000000000000000011111110000000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,382081.3134732563
387,2,TypeB,39400,001111111100000000000000111111100000000000000000000000000000000000011111110000000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,382081.31347325444
388,3,TypeC,33500,000000000000000000000000000000000000011111100000000000001111100000000000011111100000000000000000000000000000000000000000000000000000011111100000000000111111000000000000,1,0,377181.65199729195
389,4,TypeC,33500,000000000000000000000000000000000000011111100000000000001111100000000000011111100000000000000000000000000000000000000000000000000000011111100000000000111111000000000000,1,0,377181.6519972915
390,0,TypeA,50700,000000001111111110000000000000000111111111100000000000000000000000000000000000111111111100000000000000000000011111111100000000000000000000000000000000011111111110000000,1,0,1768563.9810426505
391,1,TypeB,39400,000000000000011111110000000000000111111110000000000000000000000011111110000000000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,427285.7142857136
392,2,TypeB,39400,000000000000011111110000000000000111111110000000000000000000000011111110000000000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,427285.71428571176
393,3,TypeC,34500,000000000000001111110000000000000000000000000000011111100000000000000000011111100000000000000000000000000000000000000000000000000001111110000000000000000001111110000000,1,0,9.313225746154785e-10
394,4,TypeC,34500,000000000000001111110000000000000000000000000000011111100000000000000000011111100000000000000000000000000000000000000000000000000001111110000000000000000001111110000000,1,0,4.656612873077393e-10
395,0,TypeA,51200,000000000000000000000000111111111100000000000000000000000001111111110000000000000000000000000000000000000000011111111100000000000111111111100000000000001111111110000000,1,0,1403234.1909275511
396,1,TypeB,40400,000000000000001111111100000000000000000000000000000000000000000011111110000000000000011111111000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,1005200.6770480704
397,2,TypeB,40400,000000000000001111111100000000000000000000000000000000000000000011111110000000000000011111111000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,1005200.6770480685
398,3,TypeC,33900,000000000000011110000000000000000000011111100000000000000001111110000000000000000000000000000000000000000000000000000000000000000000011111100000000000000000111110000000,1,0,233236.3574813814
399,4,TypeC,33900,000000000000011110000000000000000000011111100000000000000001111110000000000000000000000000000000000000000000000000000000000000000000011111100000000000000000111110000000,1,0,233236.35748138092
400,0,TypeA,53500,000000000000000111111111100000000000000000000000000000001111111111000000000000111111111100000000000000000000011111111100000000000000000000000000000000011111111110000000,1,0,904141.7061611321
401,1,TypeB,39400,001111111100000000000000111111100000000000000000000000000001111111000000000000000000000000000000000000011111110000000000111111110000000000000000000000000000000000000000,1,0,923761.1374407625
402,2,TypeB,39400,001111111100000000000000111111100000000000000000000000000001111111000000000000000000000000000000000000011111110000000000111111110000000000000000000000000000000000000000,1,0,923761.1374407606
403,3,TypeC,28200,000000000001111110000000000000000000000000000000000000001111100000000000011111100000000000000000000000000011110000000000000000000000000000000000000000111000000000000000,1,0,1108109.1401489521
404,4,TypeC,28200,000000000001111110000000000000000000000000000000000000001111100000000000011111100000000000000000000000000011110000000000000000000000000000000000000000111000000000000000,1,0,1108109.1401489517
405,0,TypeA,55700,001111111111000000000000111111111100000000000000000000000000000000000011111111100000000000000000000000000000011111111100000000000000000000000000000000001111111110000000,1,0,1931677.1834800215
406,1,TypeB,38100,001111111100000000000000111111100000000000000000000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000111111100000000000,1,0,262738.3886255892
407,2,TypeB,38100,001111111100000000000000111111100000000000000000000000000000000011111110000000000000000000000000000000000011111110000000000000000000000000000000000000111111100000000000,1,0,262738.38862558734
408,3,TypeC,34500,000000000001111110000000000000000000000000000000000000000000000000000000011111100000000000000000000000000000000011111100000000000000011111100000000000011111100000000000,1,0,1668355.8564658065
409,4,TypeC,34500,000000000001111110000000000000000000000000000000000000000000000000000000011111100000000000000000000000000000000011111100000000000000011111100000000000011111100000000000,1,0,1668355.856465806
410,0,TypeA,54900,001111111111000000000000111111111100000000000000000000000000000000000000000000111111111100000000000000000000011111111100000000000000000000000000000000001111111110000000,1,0,833435.6127285007
411,1,TypeB,39100,001111111100000000000000111111100000000000000000011111111000000000000000000000000000000000000000000000000011111110000000000000000011111110000000000000000000000000000000,1,0,638670.886932971
412,2,TypeB,39100,001111111100000000000000111111100000000000000000011111111000000000000000000000000000000000000000000000000011111110000000000000000011111110000000000000000000000000000000,1,0,638670.8869329691
413,3,TypeC,27200,000000111111000000000000000000000000011110000000000000001111100000000000000000000000000000000000000000000000000000000000000000111110000000000000000000000000000011100000,1,0,1571297.9011509833
414,4,TypeC,27200,000000111111000000000000000000000000011110000000000000001111100000000000000000000000000000000000000000000000000000000000000000111110000000000000000000000000000011100000,1,0,1571297.9011509828
415,0,TypeA,55600,000000000000000000000111111111100000000000000000011111111000000000000011111111100000000000000000000000000000011111111100000000000000000000000000000000011111111110000000,1,0,2871905.8903182065
416,1,TypeB,40400,001111111100000000000000000000000111111110000000000000000000000011111110000000000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,363380.2979011517
417,2,TypeB,40400,001111111100000000000000000000000111111110000000000000000000000011111110000000000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,363380.29790114984
418,3,TypeC,35900,000000111111000000000000000000000001111110000000000000000001111110000000000000000000000000000000000000000000000000000000000000111110000000000000000000000001111110000000,1,0,603215.9783344618
419,4,TypeC,35900,000000111111000000000000000000000001111110000000000000000001111110000000000000000000000000000000000000000000000000000000000000111110000000000000000000000001111110000000,1,0,603215.9783344613
420,0,TypeA,51300,000000000000011111111100000000000111111111100000000000000000000000000000000000111111111100000000000000000000011111111100000000000000000000000000000000011111111110000000,1,0,2010200.6770480666
421,1,TypeB,41400,001111111100000000011111111000000000000000000000011111111000000000000000000000000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,400750.9140148945
422,2,TypeB,41400,001111111100000000011111111000000000000000000000011111111000000000000000000000000000000000000000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,400750.91401489265
423,3,TypeC,32400,000000000000001111110000000000000000011111100000000000001111100000000000000000000000000000000000000000000000000000000000000000111110000000000000000000000000111110000000,1,0,818634.9356804346
424,4,TypeC,32400,000000000000001111110000000000000000011111100000000000001111100000000000000000000000000000000000000000000000000000000000000000111110000000000000000000000000111110000000,1,0,818634.9356804341
425,0,TypeA,55300,001111111100000000000111111111100000000000000000000000000000000000000011111111100000000000000000000000000000011111111100000000000000000000000000000000011111111110000000,1,0,2931777.1834800215
426,1,TypeB,36000,001111111100000000000000111111100000000000000000000000000000000011111110000000000000011111110000000000000011111110000000000000000000000000000000000000000000000000000000,1,0,1376881.3134732554
427,2,TypeB,36000,001111111100000000000000111111100000000000000000000000000000000011111110000000000000011111110000000000000011111110000000000000000000000000000000000000000000000000000000,1,0,1376881.3134732535
428,3,TypeC,30100,000000000000000000000000000000000001111110000000000000000001111110000000000000000000000000000000000000000000000011111100000000000000011110000000000000111000000000000000,1,0,1488024.238320922
429,4,TypeC,30100,000000000000000000000000000000000001111110000000000000000001111110000000000000000000000000000000000000000000000011111100000000000000011110000000000000111000000000000000,1,0,1488024.2383209215
430,0,TypeA,54500,001111111100000000000111111111100000000000000000000000000000000000000000000000111111111100000000000000000000011111111100000000000000000000000000000000011111111110000000,1,0,1833535.6127285007
431,1,TypeB,40400,001111111100000000000000111111100000000000000000000000000000000000000000000000000000011111111000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,769331.2119160462
432,2,TypeB,40400,001111111100000000000000111111100000000000000000000000000000000000000000000000000000011111111000000000000011111110000000000000000111111110000000000000000000000000000000,1,0,769331.2119160444
433,3,TypeC,28100,000000000000000000000000000000000001111110000000000000000001111110000000000000000000000000000000000000000011110000000000000000111100000000000000000000111000000000000000,1,0,1618884.9018280301
434,4,TypeC,28100,000000000000000000000000000000000001111110000000000000000001111110000000000000000000000000000000000000000011110000000000000000111100000000000000000000111000000000000000,1,0,1618884.9018280297
435,0,TypeA,50300,000000111111111100000000000000000000000000000000000000001111111110000000000000111111111100000000000000000000011111111100000000000000000000000000000000001111111110000000,1,0,957212.6607989119
