col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
522,0,TypeA,59100,000000000000000000000001111111110000000000000000000000000000001111111111000000000000011111111100000000000000000000000011111111110000000000000011111111110000000000000000,0,0,2125289.9040526953
523,1,TypeB,41500,000000000000000000000001111111000000000000000000000000000000000001111111000000000000000000000000000000000111111110000000000000000000000111111110000000000000000011111110,0,0,1869579.521695545
524,2,TypeB,41500,000000000000000000000001111111000000000000000000000000000000000001111111000000000000000000000000000000000111111110000000000000000000000111111110000000000000000011111110,0,0,1869579.521695545
525,3,TypeC,28900,000000000000011111000000000000000001111100000000000000000000000001111110000000000000011110000000000000000000000000000000000011111000000000000000000000000000000000000000,0,0,2418487.4838894466
526,4,TypeC,28900,000000000000011111000000000000000001111100000000000000000000000001111110000000000000011110000000000000000000000000000000000011111000000000000000000000000000000000000000,0,0,2418487.4838894466
527,0,TypeA,58300,000000000000000000000001111111110000000000000000000000000000000000000111111111100000000000000000000011111111110000000000000000111111111100000000000001111111111000000000,0,0,1638292.5390233416
528,1,TypeB,42500,000000000000000000000001111111000000000000000000000000000000000000000111111110000000000000000000000000000111111110000000000000011111111000000000000001111111000000000000,0,0,488090.5484748669
529,2,TypeB,42500,000000000000000000000001111111000000000000000000000000000000000000000111111110000000000000000000000000000111111110000000000000011111111000000000000001111111000000000000,0,0,488090.5484748669
530,3,TypeC,30000,000000000000011111000000000000000001111100000000000000000000000000000111111000000000000000000000000011111100000000000000000011111000000000000000000000000000000000000000,0,0,1606718.9460117444
531,4,TypeC,30000,000000000000011111000000000000000001111100000000000000000000000000000111111000000000000000000000000011111100000000000000000011111000000000000000000000000000000000000000,0,0,1606718.9460117444
532,0,TypeA,59200,000000000000000000000001111111110000000000000000000000001111111111000000000001111111111000000000000000000000000000000011111111110000000000000011111111110000000000000000,0,0,661528.7985106651
533,1,TypeB,42500,000000000000000000000000000000000000111111110000000000000000000001111111000000000000000000000000000000000111111110000000000000011111111000000000000001111111000000000000,0,0,1488846.785049405
534,2,TypeB,42500,000000000000000000000000000000000000111111110000000000000000000001111111000000000000000000000000000000000111111110000000000000011111111000000000000001111111000000000000,0,0,1488846.785049405
535,3,TypeC,30000,000000000000011111000000000000000001111100000000000000000000000000000001111110000000000000000000000011111100000000000000000011111000000000000000000000000000000000000000,0,0,1254318.3015895775
536,4,TypeC,30000,000000000000011111000000000000000001111100000000000000000000000000000001111110000000000000000000000011111100000000000000000011111000000000000000000000000000000000000000,0,0,1254318.3015895775
537,0,TypeA,54400,000000001111111111000000000001111111110000000000000000000000000000000000000011111111110000000000000000000000011111111110000000000000011111111110000000000000000000000000,0,0,704553.3581555206
538,1,TypeB,39100,000000000000000000000001111111000000000000000000000000000000000001111111000000000000011111111000000000000111111110000000000000000000000000000000000001111111000000000000,0,0,2575066.461406271
539,2,TypeB,39100,000000000000000000000001111111000000000000000000000000000000000001111111000000000000011111111000000000000111111110000000000000000000000000000000000001111111000000000000,0,0,2575066.461406271
540,3,TypeC,30900,000000000000011111000000000000000001111100000000000000000000000001111110000000000000011111100000000000000000000000000000000011111000000000000000000000000000000000000000,0,0,2420487.4838894466
541,4,TypeC,30900,000000000000011111000000000000000001111100000000000000000000000001111110000000000000011111100000000000000000000000000000000011111000000000000000000000000000000000000000,0,0,2420487.4838894466
542,0,TypeA,59500,000000000000000000000000000000000000000000000000111111111000000000001111111111000000000000000000111111111100000000000000000000111111111100000000000001111111111000000000,0,0,3282607.375053698
543,1,TypeB,42800,000000000000000000000001111111000000000000000000000000011111111000000000000000000011111110000000000000000000000000000000000000011111111000000000000000011111111000000000,0,0,-1.862645149230957e-09
