==========================================================
 ANALYSIS REPORT: Week 1
==========================================================

0. Solver Configuration
-----------------------
  max_iter             : 1000
  time_limit           : 3600
  tol                  : 1e-08
  patience             : 100
  mip_rc_threshold     : 1e+10
  mip_gap              : 0.0001

1. Performance Metrics
----------------------
  Objective Value : 8,159,000.00
  RMP Relaxed Value (Root): 8,159,000.00
  Integrality Gap       : 0.0000 %
  MIP Best Bound (Final)  : 8,159,000.00
  Final MIP Gap           : 0.0000 %
  Execution Time  : 376.4360 sec
  Iterations      : 241
  RMP Time  : 67.4830 s
  MIP Time  : 0.6965 s
  Pool Search Time: 278.9854 s
  Graph Search Time: 0.0000 s
  MIP Decision Variables: 979 (Columns used in Final MIP)
  MIP Filtered Columns  : 0 (Removed before MIP)

2. Column Generation & Pool Statistics
--------------------------------------
  Total Columns Generated (History) : 979
  Columns Added to RMP              : 964
  Columns Added to Queue (Backlog)  : 5608658

3. Shift Pattern Diversity (Unique Patterns)
------------------------------------------
  Type: TypeA  | Unique Patterns:    2 / Total Gen:    2
       -> Avg Length of Unique Patterns: 27.0 hours
  Type: TypeB  | Unique Patterns:  483 / Total Gen:  486
       -> Avg Length of Unique Patterns: 31.2 hours
  Type: TypeC  | Unique Patterns:  483 / Total Gen:  486
       -> Avg Length of Unique Patterns: 20.8 hours

4. Final Schedule Assignment Breakdown
--------------------------------------
  Emp 0  (TypeA): 46 hours worked
  Emp 1  (TypeB): 34 hours worked
  Emp 2  (TypeB): 29 hours worked
  Emp 3  (TypeC): 24 hours worked
  Emp 4  (TypeC): 20 hours worked

5. Iteration History (Convergence Log)
--------------------------------------
Iter  | RMP Obj Value   | RMP Add    | Queue Add 
145   | 8,159,000.00    | 4          | 11254     
146   | 8,159,000.00    | 4          | 11234     
147   | 8,159,000.00    | 4          | 6641      
148   | 8,159,000.00    | 4          | 11683     
149   | 8,159,000.00    | 4          | 10424     
150   | 8,159,000.00    | 4          | 9765      
151   | 8,159,000.00    | 4          | 9128      
152   | 8,159,000.00    | 4          | 10785     
153   | 8,159,000.00    | 4          | 11841     
154   | 8,159,000.00    | 4          | 9170      
155   | 8,159,000.00    | 4          | 9743      
156   | 8,159,000.00    | 4          | 10220     
157   | 8,159,000.00    | 4          | 7474      
158   | 8,159,000.00    | 4          | 7126      
159   | 8,159,000.00    | 4          | 10019     
160   | 8,159,000.00    | 4          | 4456      
161   | 8,159,000.00    | 4          | 6682      
162   | 8,159,000.00    | 4          | 9197      
163   | 8,159,000.00    | 4          | 15444     
164   | 8,159,000.00    | 4          | 6571      
165   | 8,159,000.00    | 4          | 11057     
166   | 8,159,000.00    | 4          | 28321     
167   | 8,159,000.00    | 4          | 29891     
168   | 8,159,000.00    | 4          | 26127     
169   | 8,159,000.00    | 4          | 18787     
170   | 8,159,000.00    | 4          | 22176     
171   | 8,159,000.00    | 4          | 23760     
172   | 8,159,000.00    | 4          | 18643     
173   | 8,159,000.00    | 4          | 15618     
174   | 8,159,000.00    | 4          | 15124     
175   | 8,159,000.00    | 4          | 21591     
176   | 8,159,000.00    | 4          | 15639     
177   | 8,159,000.00    | 4          | 10809     
178   | 8,159,000.00    | 4          | 14541     
179   | 8,159,000.00    | 4          | 14141     
180   | 8,159,000.00    | 4          | 19691     
181   | 8,159,000.00    | 4          | 16435     
182   | 8,159,000.00    | 4          | 13206     
