col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,usage_int,usage_rmp
1073,1,TypeB,36100,000000000011111110000000001111100000000000000000000000001111111100000000000000000000000000000000000000011111110000000000001111111000000000000000000000000000000000000000,1,0,0,1
1074,2,TypeB,36100,000000000011111110000000001111100000000000000000000000001111111100000000000000000000000000000000000000011111110000000000001111111000000000000000000000000000000000000000,1,0,0,3
1075,3,TypeC,30000,000000000000000000000000001111100000000000000111110000000000000000000000000000000000000000000000000000000011111100000000000111111000000000000000000000000000011111000000,1,0,0,10
1076,4,TypeC,30000,000000000000000000000000001111100000000000000111110000000000000000000000000000000000000000000000000000000011111100000000000111111000000000000000000000000000011111000000,1,0,0,10
1077,0,TypeA,56800,011111111110000000000000001111111111000000000000000000000000000000000001111111110000000000000000000000000011111111110000000000001111111111000000000000000000000000000000,0,0,0,9
1078,1,TypeB,39400,000000000111111110000000000000000011111100000000000000001111111100000000000000000000000000000000000000000000011111110000000000000111111110000000000000000000000000000000,1,0,0,8
1079,2,TypeB,39400,000000000111111110000000000000000011111100000000000000001111111100000000000000000000000000000000000000000000011111110000000000000111111110000000000000000000000000000000,1,0,0,11
1080,3,TypeC,31400,000000000000011111100000000000000011111100000000000000000000000000000001110000000000011111100000000000000000000000000000000000000000011111000000000000000000000000000000,0,0,0,13
1081,4,TypeC,31400,000000000000011111100000000000000011111100000000000000000000000000000001110000000000011111100000000000000000000000000000000000000000011111000000000000000000000000000000,0,0,0,7
1082,0,TypeA,59100,000000000000000000000000000000000000000000000000011111111100000000000001111111110000000000000000011111111110000000000000111111111100000000000000000000111111111100000000,1,0,0,36
1083,1,TypeB,44800,000000000111111110000000000000000000000000000000000000000000000000000000000000111111110000000000011111111000000000000000001111111100000000000000000001111111100000000000,1,0,0,16
1084,2,TypeB,44800,000000000111111110000000000000000000000000000000000000000000000000000000000000111111110000000000011111111000000000000000001111111100000000000000000001111111100000000000,1,0,0,11
1085,3,TypeC,32800,000000000000111110000000000000000000000000000111110000000000000000000000000000000000011111100000000000001111110000000000000000000000000000000000000001111110000000000000,0,0,0,3
