col_id,emp_id,emp_type,cost,schedule_pattern,in_final_mip,is_selected,reduced_cost
2036,3,TypeC,32600,000000000000000000000000000000000000000000001111110000000000000000000000000000000111111000000000000000000000011111000000000000000000000000001111110000000000000111111000,0,0,2884197.451912202
2037,4,TypeC,32600,000000000000000000000000000000000000000000001111110000000000000000000000000000000111111000000000000000000000011111000000000000000000000000001111110000000000000111111000,0,0,2884197.4519122
2038,0,TypeA,55800,000000000000011111111100000000000000000011111111110000000000000111111111100000000000000000000000000000000000000000000000000000111111111000000000001111111111000000000000,0,0,6057038.3322018515
2039,3,TypeC,31700,000000000000000000000000000000000001111110000000000011111100000000000000000000000000000000000000000000000000000000000000000111110000000000001111110000000000000111111000,0,0,2968898.1579542886
2040,4,TypeC,31700,000000000000000000000000000000000001111110000000000011111100000000000000000000000000000000000000000000000000000000000000000111110000000000001111110000000000000111111000,0,0,2968898.157954287
2041,0,TypeA,53900,000000001111111111000000000001111111110000000000011111111100000000000000000000000000000000000000000000000000000000000000000000111111111000000000001111111111000000000000,0,0,3509875.0192350987
2042,3,TypeC,33200,000000000000000000000000000000000001111110000000000000000000000000111111000000000000000000000000000000000001111110000000000000000000000000000011111000000000000111111000,1,0,2031346.1303462386
2043,4,TypeC,33200,000000000000000000000000000000000001111110000000000000000000000000111111000000000000000000000000000000000001111110000000000000000000000000000011111000000000000111111000,1,0,2031346.1303462368
2044,1,TypeB,40400,000000000000000000000000000000011111110000000000011111110000000000000000000000000001111111100000000000000011111111000000000000000000011111111000000000000000000000000000,0,0,316088.9341479931
2045,2,TypeB,40400,000000000000000000000000000000011111110000000000011111110000000000000000000000000001111111100000000000000011111111000000000000000000011111111000000000000000000000000000,0,0,316088.9341479931
2046,3,TypeC,31700,000000000000000000000000000000000001111110000000000011111100000000001111100000000000000000000000000000000000000000000000000000000000000000001111110000000000000111111000,1,0,2880114.620954967
2047,4,TypeC,31700,000000000000000000000000000000000001111110000000000011111100000000001111100000000000000000000000000000000000000000000000000000000000000000001111110000000000000111111000,1,0,2880114.6209549652
2048,0,TypeA,52400,000000001111111111000000000001111111110000000000011111111100000000000000000000000000000000000000000001111111110000000000000000000000000000000000000000001111111111000000,0,0,2987177.7053631786
2049,3,TypeC,29700,000000000000000000000000000000000001111110000000000011111100000000001111000000000000000000000000000000000000000000000000000000000000000000000011111000000000000111111000,1,0,2076747.3930753563
2050,4,TypeC,29700,000000000000000000000000000000000001111110000000000011111100000000001111000000000000000000000000000000000000000000000000000000000000000000000011111000000000000111111000,1,0,2076747.3930753544
2051,0,TypeA,55100,000000001111111111000000000001111111110000000000011111111100000000000000000000000000000000000000000001111111110000000000000000000000000000000111111111100000000000000000,0,0,3660783.025571378
2052,3,TypeC,30200,000000000000000000000000000000000000011111000000000011111100000000000000000000000000000000000000000000000001111110000000000000000000111000000000000111111000000000000000,1,0,2722601.1744738705
2053,4,TypeC,30200,000000000000000000000000000000000000011111000000000011111100000000000000000000000000000000000000000000000001111110000000000000000000111000000000000111111000000000000000,1,0,2722601.1744738687
2054,0,TypeA,54700,000000001111111111000000000001111111110000000000011111111110000000000000000000000000000000000000000000011111111110000000000000000000011111111110000000000000000000000000,0,0,2417134.534962639
2055,1,TypeB,40100,000000111111110000000000000000011111111000000000000000000000000000011111111000000000000000000111111100000000000000000000000000000000000000001111111000000000000000000000,0,0,1426355.9447839
2056,2,TypeB,40100,000000111111110000000000000000011111111000000000000000000000000000011111111000000000000000000111111100000000000000000000000000000000000000001111111000000000000000000000,0,0,1426355.9447839
2057,3,TypeC,33600,000000000000000000000000000000000001111110000000000000000000000000011111100000000000000000000000000000000000011111100000000000000000000000001111110000000000000111111000,0,0,2228363.2292373907
2058,4,TypeC,33600,000000000000000000000000000000000001111110000000000000000000000000011111100000000000000000000000000000000000011111100000000000000000000000001111110000000000000111111000,0,0,2228363.229237389
2059,1,TypeB,43800,000000000000000000000000000000000000011111111000000000000000000000000000111111100000000000000000000000000111111110000000000000011111111000000000011111111000000000000000,1,0,1700042.1068115067
2060,2,TypeB,43800,000000000000000000000000000000000000011111111000000000000000000000000000111111100000000000000000000000000111111110000000000000011111111000000000011111111000000000000000,1,0,1700042.1068115067
2061,3,TypeC,33900,000000000000000000000000000000000001111110000000000011111100000000000000000000000000000000000000000000000000011111100000000000000000000000001111110000000000000111111000,0,0,1632802.2652183678
2062,4,TypeC,33900,000000000000000000000000000000000001111110000000000011111100000000000000000000000000000000000000000000000000011111100000000000000000000000001111110000000000000111111000,0,0,1632802.265218366
2063,1,TypeB,39000,000000111111110000000000000000000000011111111000000000000000011111110000000000111111110000000000000111111110000000000000000000000000000000000000000000000000000000000000,0,0,1384659.807648791
2064,2,TypeB,39000,000000111111110000000000000000000000011111111000000000000000011111110000000000111111110000000000000111111110000000000000000000000000000000000000000000000000000000000000,0,0,1384659.807648791
2065,3,TypeC,31100,000000000000000000000000000000000000000000001111110000000000000111110000000000000000000011111100000000000000011111100000000000000000000000000000111111000000000000000000,0,0,4076361.543335598
2066,4,TypeC,31100,000000000000000000000000000000000000000000001111110000000000000111110000000000000000000011111100000000000000011111100000000000000000000000000000111111000000000000000000,0,0,4076361.543335596
2067,0,TypeA,53300,000000001111111111000000000000011111111110000000000000011111111110000000000000000000000000000000000000011111111110000000000000000000011111111110000000000000000000000000,0,0,1245186.1393980384
2068,1,TypeB,42400,000000000000000000000000000000000000011111111000000000000000011111111000000000000001111111100000000000000111111110000000000000000000011111111000000000000000000000000000,0,0,210251.15410726517
2069,2,TypeB,42400,000000000000000000000000000000000000011111111000000000000000011111111000000000000001111111100000000000000111111110000000000000000000011111111000000000000000000000000000,0,0,210251.15410726517
2070,3,TypeC,29700,000000000000000000000000000000000000011111000000000000000000000000000001111100000000000011111100000000000000011111000000000000000000000000000000111111000000000000000000,0,0,2556536.521837537
2071,4,TypeC,29700,000000000000000000000000000000000000011111000000000000000000000000000001111100000000000011111100000000000000011111000000000000000000000000000000111111000000000000000000,0,0,2556536.5218375353
2072,1,TypeB,41400,000000000001111111000000000000000000011111111000000000000000000000000000000000000001111111100000000000000111111110000000000000000000000000000000011111111000000000000000,1,0,1315513.0346232262
2073,2,TypeB,41400,000000000001111111000000000000000000011111111000000000000000000000000000000000000001111111100000000000000111111110000000000000000000000000000000011111111000000000000000,1,0,1315513.0346232262
2074,3,TypeC,30400,111111000000000001111100000000000000011111000000000000000000000000000000000000000000000000000000000000000000011111100000000000000000000000000000111111000000000000000000,0,0,2108995.014709225
2075,4,TypeC,30400,111111000000000001111100000000000000011111000000000000000000000000000000000000000000000000000000000000000000011111100000000000000000000000000000111111000000000000000000,0,0,2108995.014709223
2076,0,TypeA,53100,000000001111111111000000000000011111111110000000000000000000000111111111000000000000000000000000000000000111111111100000000000000000000000000000111111111000000000000000,1,0,3048513.6162027568
